dair	dair(POSTP.invar)
üzredir	üzre(POSTP),predic.pres.3p.sg
üzredirler	üzre(POSTP),predic.pres.3p.pl
üzrelerdi	üzre(POSTP),predic.perf.3p.pl
üzrelerdir	üzre(POSTP),predic.pres.3p.pl
üzrelermiş	üzre(POSTP),predic.evid.3p.pl
üzrelerse	üzre(POSTP),predic.cond.3p.pl
üzresin	üzre(POSTP),predic.pres.2p.sg
üzresiniz	üzre(POSTP),predic.pres.2p.pl
üzreydi	üzre(POSTP),predic.perf.3p.sg
üzreydik	üzre(POSTP),predic.perf.1p.pl
üzreydiler	üzre(POSTP),predic.perf.3p.pl
üzreydim	üzre(POSTP),predic.perf.1p.sg
üzreydin	üzre(POSTP),predic.perf.2p.sg
üzreydiniz	üzre(POSTP),predic.perf.2p.pl
üzreyim	üzre(POSTP),predic.pres.1p.sg
üzreyiz	üzre(POSTP),predic.pres.1p.pl
üzreymiş	üzre(POSTP),predic.evid.3p.sg
üzreymişim	üzre(POSTP),predic.evid.1p.sg
üzreymişiz	üzre(POSTP),predic.evid.1p.pl
üzreymişler	üzre(POSTP),predic.evid.3p.pl
üzreymişsin	üzre(POSTP),predic.evid.2p.sg
üzreymişsiniz	üzre(POSTP),predic.evid.2p.pl
üzreyken	üzre(POSTP),case.nom,converb
üzreyse	üzre(POSTP),predic.cond.3p.sg
üzreysek	üzre(POSTP),predic.cond.1p.pl
üzreyseler	üzre(POSTP),predic.cond.3p.pl
üzreysem	üzre(POSTP),predic.cond.1p.sg
üzreysen	üzre(POSTP),predic.cond.2p.sg
üzreyseniz	üzre(POSTP),predic.cond.2p.pl
aşağı	aşağı(POSTP),case.nom
aşağıda	aşağı(POSTP),case.loc
aşağıdadır	aşağı(POSTP),case.loc,predic.pres.3p.sg
aşağıdadırlar	aşağı(POSTP),case.loc,predic.pres.3p.pl
aşağıdalardı	aşağı(POSTP),case.loc,predic.perf.3p.pl
aşağıdalardır	aşağı(POSTP),case.loc,predic.pres.3p.pl
aşağıdalarmış	aşağı(POSTP),case.loc,predic.evid.3p.pl
aşağıdalarsa	aşağı(POSTP),case.loc,predic.cond.3p.pl
