dair	dair(POSTP.invar)
geçelerinizseniz geçe,POSTP,num.pl,p2p,case.nom,cop.cond,v2p
geçelerinizsin geçe,POSTP,num.pl,p2p,case.nom,cop.pres,v2s
geçelerinizsiniz geçe,POSTP,num.pl,p2p,case.nom,cop.pres,v2p
geçelerinken geçe,POSTP,num.pl,p2s,case.nom,converb
geçelerinle geçe,POSTP,num.pl,p2s,case.instr
geçelerinlerdi geçe,POSTP,num.pl,p2s,case.nom,cop.past,v3p
geçelerinlerdir geçe,POSTP,num.pl,p2s,case.nom,cop.pres,v3p
geçelerinlermiş geçe,POSTP,num.pl,p2s,case.nom,cop.evid,v3p
geçelerinlerse geçe,POSTP,num.pl,p2s,case.nom,cop.cond,v3p
geçelerinmiş geçe,POSTP,num.pl,p2s,case.nom,cop.evid,v3s
geçelerinmişim geçe,POSTP,num.pl,p2s,case.nom,cop.evid,v1s
geçelerinmişiz geçe,POSTP,num.pl,p2s,case.nom,cop.evid,v1p
geçelerinmişler geçe,POSTP,num.pl,p2s,case.nom,cop.evid,v3p
geçelerinmişsin geçe,POSTP,num.pl,p2s,case.nom,cop.evid,v2s
geçelerinmişsiniz geçe,POSTP,num.pl,p2s,case.nom,cop.evid,v2p
geçelerinse geçe,POSTP,num.pl,p2s,case.nom,cop.cond,v3s
geçelerinsek geçe,POSTP,num.pl,p2s,case.nom,cop.cond,v1p
geçelerinseler geçe,POSTP,num.pl,p2s,case.nom,cop.cond,v3p
geçelerinsem geçe,POSTP,num.pl,p2s,case.nom,cop.cond,v1s
geçelerinsen geçe,POSTP,num.pl,p2s,case.nom,cop.cond,v2s
geçelerinseniz geçe,POSTP,num.pl,p2s,case.nom,cop.cond,v2p
geçelerinsin geçe,POSTP,num.pl,p2s,case.nom,cop.pres,v2s
geçelerinsiniz geçe,POSTP,num.pl,p2s,case.nom,cop.pres,v2p
geçelerisin geçe,POSTP,num.pl,p3p,case.nom,cop.pres,v2s
geçelerisin geçe,POSTP,num.pl,p3s,case.nom,cop.pres,v2s
geçelerisin geçe,POSTP,num.sg,p3p,case.nom,cop.pres,v2s
geçelerisiniz geçe,POSTP,num.pl,p3p,case.nom,cop.pres,v2p
geçelerisiniz geçe,POSTP,num.pl,p3s,case.nom,cop.pres,v2p
geçelerisiniz geçe,POSTP,num.sg,p3p,case.nom,cop.pres,v2p
geçeleriydi geçe,POSTP,num.pl,p3p,case.nom,cop.past,v3s
geçeleriydi geçe,POSTP,num.pl,p3s,case.nom,cop.past,v3s
geçeleriydi geçe,POSTP,num.sg,p3p,case.nom,cop.past,v3s
geçeleriydik geçe,POSTP,num.pl,p3p,case.nom,cop.past,v1p
geçeleriydik geçe,POSTP,num.pl,p3s,case.nom,cop.past,v1p
geçeleriydik geçe,POSTP,num.sg,p3p,case.nom,cop.past,v1p
geçeleriydiler geçe,POSTP,num.pl,p3p,case.nom,cop.past,v3p
geçeleriydiler geçe,POSTP,num.pl,p3s,case.nom,cop.past,v3p
geçeleriydiler geçe,POSTP,num.sg,p3p,case.nom,cop.past,v3p
geçeleriydim geçe,POSTP,num.pl,p3p,case.nom,cop.past,v1s
geçeleriydim geçe,POSTP,num.pl,p3s,case.nom,cop.past,v1s
geçeleriydim geçe,POSTP,num.sg,p3p,case.nom,cop.past,v1s
geçeleriydin geçe,POSTP,num.pl,p3p,case.nom,cop.past,v2s
geçeleriydin geçe,POSTP,num.pl,p3s,case.nom,cop.past,v2s
geçeleriydin geçe,POSTP,num.sg,p3p,case.nom,cop.past,v2s
geçeleriydiniz geçe,POSTP,num.pl,p3p,case.nom,cop.past,v2p
geçeleriydiniz geçe,POSTP,num.pl,p3s,case.nom,cop.past,v2p
geçeleriydiniz geçe,POSTP,num.sg,p3p,case.nom,cop.past,v2p
geçeleriyim geçe,POSTP,num.pl,p3p,case.nom,cop.pres,v1s
geçeleriyim geçe,POSTP,num.pl,p3s,case.nom,cop.pres,v1s
geçeleriyim geçe,POSTP,num.sg,p3p,case.nom,cop.pres,v1s
geçeleriyiz geçe,POSTP,num.pl,p3p,case.nom,cop.pres,v1p
geçeleriyiz geçe,POSTP,num.pl,p3s,case.nom,cop.pres,v1p
geçeleriyiz geçe,POSTP,num.sg,p3p,case.nom,cop.pres,v1p
geçeleriyken geçe,POSTP,num.pl,p3p,case.nom,converb
geçeleriyken geçe,POSTP,num.pl,p3s,case.nom,converb
geçeleriyken geçe,POSTP,num.sg,p3p,case.nom,converb
geçeleriyle geçe,POSTP,num.pl,p3p,case.instr
geçeleriyle geçe,POSTP,num.pl,p3s,case.instr
geçeleriyle geçe,POSTP,num.sg,p3p,case.instr
geçeleriymiş geçe,POSTP,num.pl,p3p,case.nom,cop.evid,v3s
geçeleriymiş geçe,POSTP,num.pl,p3s,case.nom,cop.evid,v3s
geçeleriymiş geçe,POSTP,num.sg,p3p,case.nom,cop.evid,v3s
geçeleriymişim geçe,POSTP,num.pl,p3p,case.nom,cop.evid,v1s
geçeleriymişim geçe,POSTP,num.pl,p3s,case.nom,cop.evid,v1s
geçeleriymişim geçe,POSTP,num.sg,p3p,case.nom,cop.evid,v1s
geçeleriymişiz geçe,POSTP,num.pl,p3p,case.nom,cop.evid,v1p
geçeleriymişiz geçe,POSTP,num.pl,p3s,case.nom,cop.evid,v1p
geçeleriymişiz geçe,POSTP,num.sg,p3p,case.nom,cop.evid,v1p
geçeleriymişler geçe,POSTP,num.pl,p3p,case.nom,cop.evid,v3p
geçeleriymişler geçe,POSTP,num.pl,p3s,case.nom,cop.evid,v3p
geçeleriymişler geçe,POSTP,num.sg,p3p,case.nom,cop.evid,v3p
geçeleriymişsin geçe,POSTP,num.pl,p3p,case.nom,cop.evid,v2s
geçeleriymişsin geçe,POSTP,num.pl,p3s,case.nom,cop.evid,v2s
geçeleriymişsin geçe,POSTP,num.sg,p3p,case.nom,cop.evid,v2s
geçeleriymişsiniz geçe,POSTP,num.pl,p3p,case.nom,cop.evid,v2p
geçeleriymişsiniz geçe,POSTP,num.pl,p3s,case.nom,cop.evid,v2p
geçeleriymişsiniz geçe,POSTP,num.sg,p3p,case.nom,cop.evid,v2p
geçeleriyse geçe,POSTP,num.pl,p3p,case.nom,cop.cond,v3s
geçeleriyse geçe,POSTP,num.pl,p3s,case.nom,cop.cond,v3s
geçeleriyse geçe,POSTP,num.sg,p3p,case.nom,cop.cond,v3s
geçeleriysek geçe,POSTP,num.pl,p3p,case.nom,cop.cond,v1p
geçeleriysek geçe,POSTP,num.pl,p3s,case.nom,cop.cond,v1p
geçeleriysek geçe,POSTP,num.sg,p3p,case.nom,cop.cond,v1p
geçeleriyseler geçe,POSTP,num.pl,p3p,case.nom,cop.cond,v3p
geçeleriyseler geçe,POSTP,num.pl,p3s,case.nom,cop.cond,v3p
geçeleriyseler geçe,POSTP,num.sg,p3p,case.nom,cop.cond,v3p
geçeleriysem geçe,POSTP,num.pl,p3p,case.nom,cop.cond,v1s
geçeleriysem geçe,POSTP,num.pl,p3s,case.nom,cop.cond,v1s
geçeleriysem geçe,POSTP,num.sg,p3p,case.nom,cop.cond,v1s
geçeleriysen geçe,POSTP,num.pl,p3p,case.nom,cop.cond,v2s
geçeleriysen geçe,POSTP,num.pl,p3s,case.nom,cop.cond,v2s
geçeleriysen geçe,POSTP,num.sg,p3p,case.nom,cop.cond,v2s
geçeleriyseniz geçe,POSTP,num.pl,p3p,case.nom,cop.cond,v2p
geçeleriyseniz geçe,POSTP,num.pl,p3s,case.nom,cop.cond,v2p
geçeleriyseniz geçe,POSTP,num.sg,p3p,case.nom,cop.cond,v2p
geçeleriz geçe,POSTP,num.pl,case.nom,cop.pres,v1p
geçelerken geçe,POSTP,num.pl,case.nom,converb
geçelerle geçe,POSTP,num.pl,case.instr
geçelerlerdi geçe,POSTP,num.pl,case.nom,cop.past,v3p
geçelerlerdir geçe,POSTP,num.pl,case.nom,cop.pres,v3p
geçelerlermiş geçe,POSTP,num.pl,case.nom,cop.evid,v3p
geçelerlerse geçe,POSTP,num.pl,case.nom,cop.cond,v3p
geçelermiş geçe,POSTP,num.pl,case.nom,cop.evid,v3s
geçelermiş geçe,POSTP,num.sg,case.nom,cop.evid,v3p
geçelermişim geçe,POSTP,num.pl,case.nom,cop.evid,v1s
geçelermişiz geçe,POSTP,num.pl,case.nom,cop.evid,v1p
geçelermişler geçe,POSTP,num.pl,case.nom,cop.evid,v3p
geçelermişsin geçe,POSTP,num.pl,case.nom,cop.evid,v2s
geçelermişsiniz geçe,POSTP,num.pl,case.nom,cop.evid,v2p
geçelerse geçe,POSTP,num.pl,case.nom,cop.cond,v3s
geçelerse geçe,POSTP,num.sg,case.nom,cop.cond,v3p
geçelersek geçe,POSTP,num.pl,case.nom,cop.cond,v1p
geçelerseler geçe,POSTP,num.pl,case.nom,cop.cond,v3p
geçelersem geçe,POSTP,num.pl,case.nom,cop.cond,v1s
geçelersen geçe,POSTP,num.pl,case.nom,cop.cond,v2s
geçelerseniz geçe,POSTP,num.pl,case.nom,cop.cond,v2p
geçelersin geçe,POSTP,num.pl,case.nom,cop.pres,v2s
geçelersiniz geçe,POSTP,num.pl,case.nom,cop.pres,v2p
geçem geçe,POSTP,num.sg,p1s,case.nom
geçemde geçe,POSTP,num.sg,p1s,case.loc
geçemdedir geçe,POSTP,num.sg,p1s,case.loc,cop.pres,v3s
geçemdedirler geçe,POSTP,num.sg,p1s,case.loc,cop.pres,v3p
geçemdelerdi geçe,POSTP,num.sg,p1s,case.loc,cop.past,v3p
geçemdelerdir geçe,POSTP,num.sg,p1s,case.loc,cop.pres,v3p
geçemdelermiş geçe,POSTP,num.sg,p1s,case.loc,cop.evid,v3p
geçemdelerse geçe,POSTP,num.sg,p1s,case.loc,cop.cond,v3p
geçemden geçe,POSTP,num.sg,p1s,case.abl
geçemdesin geçe,POSTP,num.sg,p1s,case.loc,cop.pres,v2s
geçemdesiniz geçe,POSTP,num.sg,p1s,case.loc,cop.pres,v2p
geçemdeydi geçe,POSTP,num.sg,p1s,case.loc,cop.past,v3s
geçemdeydik geçe,POSTP,num.sg,p1s,case.loc,cop.past,v1p
geçemdeydiler geçe,POSTP,num.sg,p1s,case.loc,cop.past,v3p
geçemdeydim geçe,POSTP,num.sg,p1s,case.loc,cop.past,v1s
geçemdeydin geçe,POSTP,num.sg,p1s,case.loc,cop.past,v2s
geçemdeydiniz geçe,POSTP,num.sg,p1s,case.loc,cop.past,v2p
geçemdeyim geçe,POSTP,num.sg,p1s,case.loc,cop.pres,v1s
geçemdeyiz geçe,POSTP,num.sg,p1s,case.loc,cop.pres,v1p
geçemdeyken geçe,POSTP,num.sg,p1s,case.loc,converb
geçemdeymiş geçe,POSTP,num.sg,p1s,case.loc,cop.evid,v3s
geçemdeymişim geçe,POSTP,num.sg,p1s,case.loc,cop.evid,v1s
geçemdeymişiz geçe,POSTP,num.sg,p1s,case.loc,cop.evid,v1p
geçemdeymişler geçe,POSTP,num.sg,p1s,case.loc,cop.evid,v3p
geçemdeymişsin geçe,POSTP,num.sg,p1s,case.loc,cop.evid,v2s
geçemdeymişsiniz geçe,POSTP,num.sg,p1s,case.loc,cop.evid,v2p
geçemdeyse geçe,POSTP,num.sg,p1s,case.loc,cop.cond,v3s
geçemdeysek geçe,POSTP,num.sg,p1s,case.loc,cop.cond,v1p
geçemdeyseler geçe,POSTP,num.sg,p1s,case.loc,cop.cond,v3p
geçemdeysem geçe,POSTP,num.sg,p1s,case.loc,cop.cond,v1s
geçemdeysen geçe,POSTP,num.sg,p1s,case.loc,cop.cond,v2s
geçemdeyseniz geçe,POSTP,num.sg,p1s,case.loc,cop.cond,v2p
geçemdi geçe,POSTP,num.sg,p1s,case.nom,cop.past,v3s
geçemdik geçe,POSTP,num.sg,p1s,case.nom,cop.past,v1p
geçemdiler geçe,POSTP,num.sg,p1s,case.nom,cop.past,v3p
geçemdim geçe,POSTP,num.sg,p1s,case.nom,cop.past,v1s
geçemdin geçe,POSTP,num.sg,p1s,case.nom,cop.past,v2s
geçemdiniz geçe,POSTP,num.sg,p1s,case.nom,cop.past,v2p
geçemdir geçe,POSTP,num.sg,p1s,case.nom,cop.pres,v3s
geçemdirler geçe,POSTP,num.sg,p1s,case.nom,cop.pres,v3p
geçeme geçe,POSTP,num.sg,p1s,case.dat
geçemi geçe,POSTP,num.sg,p1s,case.acc
geçemim geçe,POSTP,num.sg,p1s,case.nom,cop.pres,v1s
geçemin geçe,POSTP,num.sg,p1s,case.gen
geçemiz geçe,POSTP,num.sg,p1p,case.nom
geçemiz geçe,POSTP,num.sg,p1s,case.nom,cop.pres,v1p
geçemizde geçe,POSTP,num.sg,p1p,case.loc
geçemizdedir geçe,POSTP,num.sg,p1p,case.loc,cop.pres,v3s
geçemizdedirler geçe,POSTP,num.sg,p1p,case.loc,cop.pres,v3p
geçemizdelerdi geçe,POSTP,num.sg,p1p,case.loc,cop.past,v3p
geçemizdelerdir geçe,POSTP,num.sg,p1p,case.loc,cop.pres,v3p
geçemizdelermiş geçe,POSTP,num.sg,p1p,case.loc,cop.evid,v3p
geçemizdelerse geçe,POSTP,num.sg,p1p,case.loc,cop.cond,v3p
geçemizden geçe,POSTP,num.sg,p1p,case.abl
geçemizdesin geçe,POSTP,num.sg,p1p,case.loc,cop.pres,v2s
geçemizdesiniz geçe,POSTP,num.sg,p1p,case.loc,cop.pres,v2p
geçemizdeydi geçe,POSTP,num.sg,p1p,case.loc,cop.past,v3s
geçemizdeydik geçe,POSTP,num.sg,p1p,case.loc,cop.past,v1p
geçemizdeydiler geçe,POSTP,num.sg,p1p,case.loc,cop.past,v3p
geçemizdeydim geçe,POSTP,num.sg,p1p,case.loc,cop.past,v1s
geçemizdeydin geçe,POSTP,num.sg,p1p,case.loc,cop.past,v2s
geçemizdeydiniz geçe,POSTP,num.sg,p1p,case.loc,cop.past,v2p
geçemizdeyim geçe,POSTP,num.sg,p1p,case.loc,cop.pres,v1s
geçemizdeyiz geçe,POSTP,num.sg,p1p,case.loc,cop.pres,v1p
geçemizdeyken geçe,POSTP,num.sg,p1p,case.loc,converb
geçemizdeymiş geçe,POSTP,num.sg,p1p,case.loc,cop.evid,v3s
geçemizdeymişim geçe,POSTP,num.sg,p1p,case.loc,cop.evid,v1s
geçemizdeymişiz geçe,POSTP,num.sg,p1p,case.loc,cop.evid,v1p
geçemizdeymişler geçe,POSTP,num.sg,p1p,case.loc,cop.evid,v3p
geçemizdeymişsin geçe,POSTP,num.sg,p1p,case.loc,cop.evid,v2s
geçemizdeymişsiniz geçe,POSTP,num.sg,p1p,case.loc,cop.evid,v2p
geçemizdeyse geçe,POSTP,num.sg,p1p,case.loc,cop.cond,v3s
geçemizdeysek geçe,POSTP,num.sg,p1p,case.loc,cop.cond,v1p
geçemizdeyseler geçe,POSTP,num.sg,p1p,case.loc,cop.cond,v3p
geçemizdeysem geçe,POSTP,num.sg,p1p,case.loc,cop.cond,v1s
geçemizdeysen geçe,POSTP,num.sg,p1p,case.loc,cop.cond,v2s
geçemizdeyseniz geçe,POSTP,num.sg,p1p,case.loc,cop.cond,v2p
geçemizdi geçe,POSTP,num.sg,p1p,case.nom,cop.past,v3s
geçemizdik geçe,POSTP,num.sg,p1p,case.nom,cop.past,v1p
geçemizdiler geçe,POSTP,num.sg,p1p,case.nom,cop.past,v3p
geçemizdim geçe,POSTP,num.sg,p1p,case.nom,cop.past,v1s
geçemizdin geçe,POSTP,num.sg,p1p,case.nom,cop.past,v2s
geçemizdiniz geçe,POSTP,num.sg,p1p,case.nom,cop.past,v2p
geçemizdir geçe,POSTP,num.sg,p1p,case.nom,cop.pres,v3s
geçemizdirler geçe,POSTP,num.sg,p1p,case.nom,cop.pres,v3p
geçemize geçe,POSTP,num.sg,p1p,case.dat
geçemizi geçe,POSTP,num.sg,p1p,case.acc
geçemizim geçe,POSTP,num.sg,p1p,case.nom,cop.pres,v1s
geçemizin geçe,POSTP,num.sg,p1p,case.gen
geçemiziz geçe,POSTP,num.sg,p1p,case.nom,cop.pres,v1p
geçemizken geçe,POSTP,num.sg,p1p,case.nom,converb
geçemizle geçe,POSTP,num.sg,p1p,case.instr
geçemizlerdi geçe,POSTP,num.sg,p1p,case.nom,cop.past,v3p
geçemizlerdir geçe,POSTP,num.sg,p1p,case.nom,cop.pres,v3p
geçemizlermiş geçe,POSTP,num.sg,p1p,case.nom,cop.evid,v3p
geçemizlerse geçe,POSTP,num.sg,p1p,case.nom,cop.cond,v3p
geçemizmiş geçe,POSTP,num.sg,p1p,case.nom,cop.evid,v3s
geçemizmişim geçe,POSTP,num.sg,p1p,case.nom,cop.evid,v1s
geçemizmişiz geçe,POSTP,num.sg,p1p,case.nom,cop.evid,v1p
geçemizmişler geçe,POSTP,num.sg,p1p,case.nom,cop.evid,v3p
geçemizmişsin geçe,POSTP,num.sg,p1p,case.nom,cop.evid,v2s
geçemizmişsiniz geçe,POSTP,num.sg,p1p,case.nom,cop.evid,v2p
geçemizse geçe,POSTP,num.sg,p1p,case.nom,cop.cond,v3s
geçemizsek geçe,POSTP,num.sg,p1p,case.nom,cop.cond,v1p
geçemizseler geçe,POSTP,num.sg,p1p,case.nom,cop.cond,v3p
geçemizsem geçe,POSTP,num.sg,p1p,case.nom,cop.cond,v1s
geçemizsen geçe,POSTP,num.sg,p1p,case.nom,cop.cond,v2s
geçemizseniz geçe,POSTP,num.sg,p1p,case.nom,cop.cond,v2p
geçemizsin geçe,POSTP,num.sg,p1p,case.nom,cop.pres,v2s
geçemizsiniz geçe,POSTP,num.sg,p1p,case.nom,cop.pres,v2p
geçemken geçe,POSTP,num.sg,p1s,case.nom,converb
geçemle geçe,POSTP,num.sg,p1s,case.instr
geçemlerdi geçe,POSTP,num.sg,p1s,case.nom,cop.past,v3p
geçemlerdir geçe,POSTP,num.sg,p1s,case.nom,cop.pres,v3p
geçemlermiş geçe,POSTP,num.sg,p1s,case.nom,cop.evid,v3p
geçemlerse geçe,POSTP,num.sg,p1s,case.nom,cop.cond,v3p
geçemmiş geçe,POSTP,num.sg,p1s,case.nom,cop.evid,v3s
geçemmişim geçe,POSTP,num.sg,p1s,case.nom,cop.evid,v1s
geçemmişiz geçe,POSTP,num.sg,p1s,case.nom,cop.evid,v1p
geçemmişler geçe,POSTP,num.sg,p1s,case.nom,cop.evid,v3p
geçemmişsin geçe,POSTP,num.sg,p1s,case.nom,cop.evid,v2s
geçemmişsiniz geçe,POSTP,num.sg,p1s,case.nom,cop.evid,v2p
geçemse geçe,POSTP,num.sg,p1s,case.nom,cop.cond,v3s
geçemsek geçe,POSTP,num.sg,p1s,case.nom,cop.cond,v1p
geçemseler geçe,POSTP,num.sg,p1s,case.nom,cop.cond,v3p
geçemsem geçe,POSTP,num.sg,p1s,case.nom,cop.cond,v1s
geçemsen geçe,POSTP,num.sg,p1s,case.nom,cop.cond,v2s
geçemseniz geçe,POSTP,num.sg,p1s,case.nom,cop.cond,v2p
geçemsin geçe,POSTP,num.sg,p1s,case.nom,cop.pres,v2s
geçemsiniz geçe,POSTP,num.sg,p1s,case.nom,cop.pres,v2p
geçen geçe,POSTP,num.sg,p2s,case.nom
geçende geçe,POSTP,num.sg,p2s,case.loc
geçendedir geçe,POSTP,num.sg,p2s,case.loc,cop.pres,v3s
geçendedirler geçe,POSTP,num.sg,p2s,case.loc,cop.pres,v3p
geçendelerdi geçe,POSTP,num.sg,p2s,case.loc,cop.past,v3p
geçendelerdir geçe,POSTP,num.sg,p2s,case.loc,cop.pres,v3p
geçendelermiş geçe,POSTP,num.sg,p2s,case.loc,cop.evid,v3p
geçendelerse geçe,POSTP,num.sg,p2s,case.loc,cop.cond,v3p
geçenden geçe,POSTP,num.sg,p2s,case.abl
geçendesin geçe,POSTP,num.sg,p2s,case.loc,cop.pres,v2s
geçendesiniz geçe,POSTP,num.sg,p2s,case.loc,cop.pres,v2p
geçendeydi geçe,POSTP,num.sg,p2s,case.loc,cop.past,v3s
geçendeydik geçe,POSTP,num.sg,p2s,case.loc,cop.past,v1p
geçendeydiler geçe,POSTP,num.sg,p2s,case.loc,cop.past,v3p
geçendeydim geçe,POSTP,num.sg,p2s,case.loc,cop.past,v1s
geçendeydin geçe,POSTP,num.sg,p2s,case.loc,cop.past,v2s
geçendeydiniz geçe,POSTP,num.sg,p2s,case.loc,cop.past,v2p
geçendeyim geçe,POSTP,num.sg,p2s,case.loc,cop.pres,v1s
geçendeyiz geçe,POSTP,num.sg,p2s,case.loc,cop.pres,v1p
geçendeyken geçe,POSTP,num.sg,p2s,case.loc,converb
geçendeymiş geçe,POSTP,num.sg,p2s,case.loc,cop.evid,v3s
geçendeymişim geçe,POSTP,num.sg,p2s,case.loc,cop.evid,v1s
geçendeymişiz geçe,POSTP,num.sg,p2s,case.loc,cop.evid,v1p
geçendeymişler geçe,POSTP,num.sg,p2s,case.loc,cop.evid,v3p
geçendeymişsin geçe,POSTP,num.sg,p2s,case.loc,cop.evid,v2s
geçendeymişsiniz geçe,POSTP,num.sg,p2s,case.loc,cop.evid,v2p
geçendeyse geçe,POSTP,num.sg,p2s,case.loc,cop.cond,v3s
geçendeysek geçe,POSTP,num.sg,p2s,case.loc,cop.cond,v1p
geçendeyseler geçe,POSTP,num.sg,p2s,case.loc,cop.cond,v3p
geçendeysem geçe,POSTP,num.sg,p2s,case.loc,cop.cond,v1s
geçendeysen geçe,POSTP,num.sg,p2s,case.loc,cop.cond,v2s
geçendeyseniz geçe,POSTP,num.sg,p2s,case.loc,cop.cond,v2p
geçendi geçe,POSTP,num.sg,p2s,case.nom,cop.past,v3s
geçendik geçe,POSTP,num.sg,p2s,case.nom,cop.past,v1p
geçendiler geçe,POSTP,num.sg,p2s,case.nom,cop.past,v3p
geçendim geçe,POSTP,num.sg,p2s,case.nom,cop.past,v1s
geçendin geçe,POSTP,num.sg,p2s,case.nom,cop.past,v2s
geçendiniz geçe,POSTP,num.sg,p2s,case.nom,cop.past,v2p
geçendir geçe,POSTP,num.sg,p2s,case.nom,cop.pres,v3s
geçendirler geçe,POSTP,num.sg,p2s,case.nom,cop.pres,v3p
geçene geçe,POSTP,num.sg,p2s,case.dat
geçeni geçe,POSTP,num.sg,p2s,case.acc
geçenim geçe,POSTP,num.sg,p2s,case.nom,cop.pres,v1s
geçenin geçe,POSTP,num.sg,case.gen
geçenin geçe,POSTP,num.sg,p2s,case.gen
geçeniz geçe,POSTP,num.sg,p2p,case.nom
geçeniz geçe,POSTP,num.sg,p2s,case.nom,cop.pres,v1p
geçenizde geçe,POSTP,num.sg,p2p,case.loc
geçenizdedir geçe,POSTP,num.sg,p2p,case.loc,cop.pres,v3s
geçenizdedirler geçe,POSTP,num.sg,p2p,case.loc,cop.pres,v3p
geçenizdelerdi geçe,POSTP,num.sg,p2p,case.loc,cop.past,v3p
geçenizdelerdir geçe,POSTP,num.sg,p2p,case.loc,cop.pres,v3p
geçenizdelermiş geçe,POSTP,num.sg,p2p,case.loc,cop.evid,v3p
geçenizdelerse geçe,POSTP,num.sg,p2p,case.loc,cop.cond,v3p
geçenizden geçe,POSTP,num.sg,p2p,case.abl
geçenizdesin geçe,POSTP,num.sg,p2p,case.loc,cop.pres,v2s
geçenizdesiniz geçe,POSTP,num.sg,p2p,case.loc,cop.pres,v2p
geçenizdeydi geçe,POSTP,num.sg,p2p,case.loc,cop.past,v3s
geçenizdeydik geçe,POSTP,num.sg,p2p,case.loc,cop.past,v1p
geçenizdeydiler geçe,POSTP,num.sg,p2p,case.loc,cop.past,v3p
geçenizdeydim geçe,POSTP,num.sg,p2p,case.loc,cop.past,v1s
geçenizdeydin geçe,POSTP,num.sg,p2p,case.loc,cop.past,v2s
geçenizdeydiniz geçe,POSTP,num.sg,p2p,case.loc,cop.past,v2p
geçenizdeyim geçe,POSTP,num.sg,p2p,case.loc,cop.pres,v1s
geçenizdeyiz geçe,POSTP,num.sg,p2p,case.loc,cop.pres,v1p
geçenizdeyken geçe,POSTP,num.sg,p2p,case.loc,converb
geçenizdeymiş geçe,POSTP,num.sg,p2p,case.loc,cop.evid,v3s
geçenizdeymişim geçe,POSTP,num.sg,p2p,case.loc,cop.evid,v1s
geçenizdeymişiz geçe,POSTP,num.sg,p2p,case.loc,cop.evid,v1p
geçenizdeymişler geçe,POSTP,num.sg,p2p,case.loc,cop.evid,v3p
geçenizdeymişsin geçe,POSTP,num.sg,p2p,case.loc,cop.evid,v2s
geçenizdeymişsiniz geçe,POSTP,num.sg,p2p,case.loc,cop.evid,v2p
geçenizdeyse geçe,POSTP,num.sg,p2p,case.loc,cop.cond,v3s
geçenizdeysek geçe,POSTP,num.sg,p2p,case.loc,cop.cond,v1p
geçenizdeyseler geçe,POSTP,num.sg,p2p,case.loc,cop.cond,v3p
geçenizdeysem geçe,POSTP,num.sg,p2p,case.loc,cop.cond,v1s
geçenizdeysen geçe,POSTP,num.sg,p2p,case.loc,cop.cond,v2s
geçenizdeyseniz geçe,POSTP,num.sg,p2p,case.loc,cop.cond,v2p
geçenizdi geçe,POSTP,num.sg,p2p,case.nom,cop.past,v3s
geçenizdik geçe,POSTP,num.sg,p2p,case.nom,cop.past,v1p
geçenizdiler geçe,POSTP,num.sg,p2p,case.nom,cop.past,v3p
geçenizdim geçe,POSTP,num.sg,p2p,case.nom,cop.past,v1s
geçenizdin geçe,POSTP,num.sg,p2p,case.nom,cop.past,v2s
geçenizdiniz geçe,POSTP,num.sg,p2p,case.nom,cop.past,v2p
geçenizdir geçe,POSTP,num.sg,p2p,case.nom,cop.pres,v3s
geçenizdirler geçe,POSTP,num.sg,p2p,case.nom,cop.pres,v3p
geçenize geçe,POSTP,num.sg,p2p,case.dat
geçenizi geçe,POSTP,num.sg,p2p,case.acc
geçenizim geçe,POSTP,num.sg,p2p,case.nom,cop.pres,v1s
geçenizin geçe,POSTP,num.sg,p2p,case.gen
geçeniziz geçe,POSTP,num.sg,p2p,case.nom,cop.pres,v1p
geçenizken geçe,POSTP,num.sg,p2p,case.nom,converb
geçenizle geçe,POSTP,num.sg,p2p,case.instr
geçenizlerdi geçe,POSTP,num.sg,p2p,case.nom,cop.past,v3p
geçenizlerdir geçe,POSTP,num.sg,p2p,case.nom,cop.pres,v3p
geçenizlermiş geçe,POSTP,num.sg,p2p,case.nom,cop.evid,v3p
geçenizlerse geçe,POSTP,num.sg,p2p,case.nom,cop.cond,v3p
geçenizmiş geçe,POSTP,num.sg,p2p,case.nom,cop.evid,v3s
geçenizmişim geçe,POSTP,num.sg,p2p,case.nom,cop.evid,v1s
geçenizmişiz geçe,POSTP,num.sg,p2p,case.nom,cop.evid,v1p
geçenizmişler geçe,POSTP,num.sg,p2p,case.nom,cop.evid,v3p
geçenizmişsin geçe,POSTP,num.sg,p2p,case.nom,cop.evid,v2s
geçenizmişsiniz geçe,POSTP,num.sg,p2p,case.nom,cop.evid,v2p
geçenizse geçe,POSTP,num.sg,p2p,case.nom,cop.cond,v3s
geçenizsek geçe,POSTP,num.sg,p2p,case.nom,cop.cond,v1p
geçenizseler geçe,POSTP,num.sg,p2p,case.nom,cop.cond,v3p
geçenizsem geçe,POSTP,num.sg,p2p,case.nom,cop.cond,v1s
geçenizsen geçe,POSTP,num.sg,p2p,case.nom,cop.cond,v2s
geçenizseniz geçe,POSTP,num.sg,p2p,case.nom,cop.cond,v2p
geçenizsin geçe,POSTP,num.sg,p2p,case.nom,cop.pres,v2s
geçenizsiniz geçe,POSTP,num.sg,p2p,case.nom,cop.pres,v2p
geçenken geçe,POSTP,num.sg,p2s,case.nom,converb
geçenle geçe,POSTP,num.sg,p2s,case.instr
geçenlerdi geçe,POSTP,num.sg,p2s,case.nom,cop.past,v3p
geçenlerdir geçe,POSTP,num.sg,p2s,case.nom,cop.pres,v3p
geçenlermiş geçe,POSTP,num.sg,p2s,case.nom,cop.evid,v3p
